Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-01-31 00:00:00-05:00,32.264484954519894,32.62974388818422,31.878934717966743,31.973630905151367,2845700,0.0,0.0
2005-02-01 00:00:00-05:00,31.919494301591804,32.03448428900552,31.716573678228695,31.7639217376709,2634200,0.0,0.0
2005-02-02 00:00:00-05:00,31.77070800201044,31.912752273249026,31.46632557772961,31.905986785888672,2259000,0.0,0.0
2005-02-03 00:00:00-05:00,31.45278806086108,31.54748421422156,30.945485027621384,31.36485481262207,4782300,0.0,0.0
2005-02-04 00:00:00-05:00,31.425873912494684,31.737691708831658,31.12761116308188,31.303857803344727,3578300,0.1,0.0
2005-02-07 00:00:00-05:00,31.317420055604085,31.58856499360167,31.181846293678078,31.249631881713867,2565400,0.0,0.0
2005-02-08 00:00:00-05:00,31.507201377343645,31.52075900334634,30.971686786574605,31.100482940673828,2893400,0.0,0.0
2005-02-09 00:00:00-05:00,31.07337504275815,31.18861101227465,30.788670001026354,30.84967803955078,2132900,0.0,0.0
2005-02-10 00:00:00-05:00,30.89712201738452,31.378406077584728,30.808998746156167,31.086923599243164,1966300,0.0,0.0
2005-02-11 00:00:00-05:00,31.168288512888793,31.798704304915216,30.998821957738777,31.480106353759766,2959000,0.0,0.0
2005-02-14 00:00:00-05:00,31.534326036905494,31.697012425766143,31.283516345664104,31.527545928955078,2043900,0.0,0.0
2005-02-15 00:00:00-05:00,31.683460932652103,31.873262602880324,31.385198209889108,31.859704971313477,2079100,0.0,0.0
2005-02-16 00:00:00-05:00,31.859705564525232,31.92749113776778,31.62923099530515,31.819032669067383,1791700,0.0,0.0
2005-02-17 00:00:00-05:00,31.72413875552768,31.913943056565863,31.181846293678078,31.249631881713867,2179600,0.0,0.0
2005-02-18 00:00:00-05:00,31.17506468372021,31.269965528875318,31.005598149984916,31.046268463134766,2028100,0.0,0.0
2005-02-22 00:00:00-05:00,30.856461071268974,31.663120691889578,30.775117874145508,30.775117874145508,3505200,0.0,0.0
2005-02-23 00:00:00-05:00,31.012371369916654,31.26318108100043,30.836127337065445,30.9445858001709,2810400,0.0,0.0
2005-02-24 00:00:00-05:00,30.951363059836698,31.649564248530154,30.910690166822565,31.54788589477539,2348800,0.0,0.0
2005-02-25 00:00:00-05:00,31.46652589343624,31.69700034468981,31.41907549928279,31.568206787109375,1525800,0.0,0.0
2005-02-28 00:00:00-05:00,31.595329478659146,31.859696761453854,31.303846939718017,31.581771850585938,2425000,0.0,0.0
2005-03-01 00:00:00-05:00,31.608898046613238,32.042731951693824,31.595340413847715,31.66312599182129,2890600,0.0,0.0
2005-03-02 00:00:00-05:00,30.78189586802697,31.229287337840223,30.036244280289434,30.517528533935547,12766600,0.0,0.0
2005-03-03 00:00:00-05:00,30.571744524325197,30.673425421943417,30.320934918946943,30.368385314941406,4944200,0.0,0.0
2005-03-04 00:00:00-05:00,30.341285705566406,30.67344123461199,30.165041656137756,30.341285705566406,4714100,0.0,0.0
2005-03-07 00:00:00-05:00,30.449737315855035,30.60564876033133,30.076911559508673,30.192150115966797,3306200,0.0,0.0
